Point,X,Y,D,R,V,A,AV,AA,T,T2
134,26.2239951357,0.674664354791,0.259112301328,-46.4878326324,2.37101455004,-0.35,-0.0510029058311,-0.037157723087,0.10841576454,18.8189050913
135,26.4399947498,0.702473000222,0.250696977319,-43.6100211573,2.33371423109,-0.35,-0.0535132561084,-0.023555364183,0.106572339866,18.9254774311
136,26.6781080209,0.731859207025,0.271898143325,19.3046980299,2.29257353471,-0.35,0.118757285463,1.4655728964,0.117544846793,19.0430222779
137,26.9090077604,0.763231582715,0.263285816074,9.40221817561,2.25201983579,-0.35,0.23952005726,1.04224697763,0.115867711194,19.1588899891
138,27.1340223717,0.799445212243,0.257473309369,8.79927138883,2.21164238163,-0.35,0.251343808357,0.102490683733,0.115364154736,19.2742541438
139,27.3531518549,0.840500095608,0.25185398369,8.2169430651,2.17141986628,-0.35,0.264261276861,0.112402566972,0.114921472452,19.3891756163
140,27.5926379563,0.892473650622,0.273413844055,7.66040153179,2.12689316723,-0.35,0.277647739274,0.105223651096,0.127219140125,19.5163947564
141,27.8246756924,0.950574417524,0.266859428232,7.12963997457,2.08251601316,-0.35,0.292092731272,0.113926800955,0.126791868786,19.6431866252
142,28.0492650632,1.01480239631,0.26058102463,6.64647838947,2.03825077648,-0.35,0.30666627604,0.115231297776,0.126472104797,19.76965873
143,28.2664060687,1.08515758699,0.254599048942,6.19349862034,1.99405288133,-0.35,0.321959041823,0.12110232866,0.126279700413,19.8959384304
144,28.4989381156,1.17051625724,0.273496997725,5.7753393439,1.94545598643,-0.35,0.33685570156,0.107287326045,0.138848271145,20.0347867016
145,28.7222746498,1.26343938662,0.267038051972,5.39032961079,1.89680583054,-0.35,0.351890509022,0.108163735866,0.139000445411,20.173787147
146,28.9364156713,1.36392697511,0.261076870128,5.07038734579,1.8480039366,-0.35,0.364469972523,0.090218060599,0.139433982692,20.3132211297
147,29.1413561108,1.4719347114,0.25564825426,7.89037137253,1.79893434335,-0.35,0.227991086657,-0.973466599071,0.140198837839,20.4534199675
148,29.3554504556,1.59319239458,0.270110485208,11.9433951921,1.74559085471,-0.35,0.146155329086,-0.536944918281,0.15240996755,20.6058299351
149,29.5571914801,1.71287973263,0.257604064039,10.2732973301,1.69315226345,-0.35,0.164810986097,0.124516692705,0.149824546462,20.7556544815
150,29.7631836868,1.84165676565,0.265008901161,8.74121190563,1.63745484103,-0.35,0.187325837505,0.141482274228,0.159135492628,20.9147899741
151,29.9544744214,1.96856495819,0.250500218136,7.31288518352,1.5830060656,-0.35,0.216468059578,0.187327954479,0.155567929808,21.070357904
152,30.1451158476,2.10393989887,0.25372572083,6.00742040528,1.52587686238,-0.35,0.253998681537,0.229929999806,0.163226294916,21.2335841989
153,30.3311263166,2.24727544339,0.25362579688,4.81225349111,1.46654769487,-0.35,0.304752793587,0.299413255966,0.16951190717,21.403096106
154,30.5082178992,2.39802651328,0.250176499553,3.70559828061,1.4055741146,-0.35,0.379310979809,0.427978233578,0.174210229335,21.5773063354
155,30.6812712258,2.56562132658,0.257271560775,2.64719234792,1.3399807831,-0.35,0.506189429022,0.677011766475,0.187409518557,21.7647158539
156,30.8415814447,2.75266579204,0.261268987763,2.01880374511,1.26990559006,-0.35,0.629038653774,0.613587016925,0.200214837281,21.9649306912
157,30.9730904656,2.9504219703,0.251193346941,1.57326225002,1.19867629692,-0.35,0.761904950622,0.65286628365,0.203512266104,22.1684429573
158,31.0736369963,3.16898114452,0.25318842409,1.27922358689,1.12231589489,-0.35,0.877341464306,0.529106431057,0.218172577213,22.3866155345
159,31.1306172104,3.4086368513,0.257918089268,1.07905030545,1.03877346204,-0.35,0.962673803808,0.357498792006,0.23869266529,22.6253081998
160,31.1292777169,3.64928226402,0.251481210932,0.926082125919,0.962331609124,-0.304134410201,1.03914283862,0.304242557099,0.251342335348,22.8766505352
161,31.0615745124,3.87980422206,0.25028955081,1.09851074527,1.04809863337,0.344458286005,0.95410867657,-0.341514958334,0.248991032387,23.1256415676
162,30.9420061201,4.09011238686,0.251905566582,1.4834697206,1.12909018324,0.35,0.761114411411,-0.834012843534,0.231404428188,23.3570459957
163,30.7863232008,4.28025268722,0.256576595053,2.06231265157,1.20600508225,0.35,0.584782855951,-0.802393882076,0.219756854331,23.5768028501
164,30.6087763525,4.45026667776,0.257989812519,3.90727134488,1.27868726715,0.35,0.327258374013,-1.24010538209,0.207663385433,23.7844662355
165,30.4189885266,4.61020344774,0.263142721307,-9.62911220523,1.34879243477,0.35,-0.140074433242,-2.33315871137,0.200300478907,23.9847667144
166,30.2387210377,4.77012673051,0.256924476708,-7.11056286513,1.41389114354,0.35,-0.198843772337,-0.315970455807,0.185996310779,24.1707630252
167,30.0599537883,4.94003493065,0.262047041571,-6.34849755141,1.47733580979,0.35,-0.232706368369,-0.186807013296,0.181270474993,24.3520335002
168,29.8943403739,5.10993253121,0.252096278991,-5.64128131441,1.53589989589,0.35,-0.272260823434,-0.236391621482,0.167325960273,24.5193594605
169,29.7333222191,5.28981255512,0.25572426937,-4.99542564665,1.52283852177,-0.0781140697154,-0.304846599566,-0.194880535915,0.167208982562,24.686568443
170,29.5793571337,5.47967302184,0.258203143625,7.01840801197,1.462290998,-0.35,0.208350810541,2.96658033839,0.172992925041,24.8595613681
171,29.4138477986,5.66961001905,0.26326746657,1.95400773624,1.39785826758,-0.35,0.715380109124,2.75419423232,0.184093515494,25.0436548836
172,29.2333338474,5.8297195986,0.253680946923,2.76877725192,1.45999465721,0.35,0.527306649965,-1.05937456449,0.177532541806,25.2211874254
173,29.0296723122,5.97995824298,0.267171933117,3.77034382395,1.52269653978,0.35,0.403861454255,-0.689067325033,0.17914823592,25.4003356613
174,28.8262142228,6.11027146066,0.257618240997,4.92729072193,1.58080280901,0.35,0.320825966686,-0.500159811278,0.166017912069,25.5663535733
175,28.6161940421,6.23064827084,0.259762909115,6.19788382503,1.63730618925,0.35,0.264171810164,-0.35093395649,0.161438229256,25.7277918026
176,28.4049428215,6.34106762884,0.257689775281,7.57178106371,1.69149472362,0.35,0.223394563233,-0.263377420898,0.15482438393,25.8826161865
177,28.1973473579,6.4415102437,0.251488203163,9.97257760393,1.74275533058,0.35,0.174754752461,-0.332105583238,0.146458877015,26.0290750636
178,27.976472045,6.54197887325,0.265450279865,-549.4342723,1.79527472498,0.35,-0.00326749679715,-1.18637672704,0.150055412587,26.1791304761
179,27.7564566766,6.64217342201,0.266600952852,-38.8724994421,1.84651888838,0.35,-0.0475019336262,-0.302123244144,0.146411895432,26.3255423716
180,27.5407406621,6.74202089376,0.262142219774,-36.9366976999,1.89555573883,0.35,-0.0513190365372,-0.0272445315464,0.140105286981,26.4656476585
181,27.3293240013,6.84152128853,0.257693700018,-35.0706189531,1.93059407862,0.260118771594,-0.0550487597952,-0.0276888413681,0.134701311926,26.6003489705
182,27.1222066943,6.9406746063,0.253255931841,-33.2139253846,1.88412163729,-0.35,-0.0567268582522,-0.0126383388345,0.132778403793,26.7331273743
183,26.8993434103,7.04934238191,0.271209372428,-31.3726900717,1.83304876733,-0.35,-0.0584281667634,-0.0116589880179,0.145922485604,26.8790498599
184,26.6816823444,7.15759019437,0.265913463986,-29.5518972552,1.78155223292,-0.35,-0.0602855450374,-0.0126238086373,0.147132955459,27.0261828153
185,26.4692234967,7.26541804366,0.260634326839,-27.808612191,1.72959079838,-0.35,-0.0621962285099,-0.0128699144139,0.148461241548,27.1746440569
186,26.261966867,7.37282592978,0.255373001234,-26.141041495,1.67711753582,-0.35,-0.0641564926225,-0.0130750863591,0.149923607296,27.3245676642
187,26.0599124554,7.47981385274,0.250130611291,3.63065120179,1.62407875457,-0.35,0.447324368084,3.37523406523,0.151539374995,27.4761070392
188,25.8421497128,7.57767145806,0.252513088301,2.46087263925,1.5687168767,-0.35,0.6374636589,1.20206818018,0.158176793922,27.6342838331
